This file is outdated, check "Character Dialog Description.txt" instead

A downright terrible estimation of character dialog (read: content) amount based on their directory size.
The characters are ordered by in-game number.
This file should be updated when new dialog is added/translated.

Last Update: 2022-05-22 (TW v4.840)

Added a shitty approximate for line count. This time it didn't account for HPH_PRINT functions, mistakes were made. Some characters might have even more lines because of it.
Keep in mind many of those lines are either repeated, reconnected into general description or plain abandoned/not used
Or regex is capturing something by a mistake

To see more accurate progress and translators involved, check CHARACTER_DIALOG_STATUS.ERB

  # Name             Lines    	Size         Notes
---------------------------------------------------
  1 Reimu		1) 6696 2) 5819 - 880 	KB - 75%
  2 Ruukoto			1103		- 460 	KB - 100%~
  4 Mima			2011		- 460 	KB - 100%~
  5 Sunny			3237		- 612	KB - 0%
  6 Luna			2780		- 552	KB - 0%
  7 Star			2791		- 572	KB - 0%
  9 Yumemi			2364		- 552	KB - 100%
 10 Suika			303			- 70 	KB - 100%~
 11 Marisa			1306		- 259 	KB - 100%
 12 Rumia			1886 		- 396	KB - 0%
 13 Daiyousei		4073		- 680	KB - 5%
 14 Cirno			868			- 292	KB - 0%
 15 Sakuya 1) 1042 2) 284  3) 2770 - 1) 131 KB 2) 364 KB 3) 465 KB - 1) 100% 2) 0% 3) 100% (per anon)
 16 Remilia			754			- 149	KB - 100%
 17 Alice			3606 		- 1 	MB - 0%
 18 Lily W			1949 		- 360	KB - 0%
 19 Lily B			981 		- 212	KB - 0%
 22 Lunasa			657			- 301 	KB - 0%
 23 Youmu			657			- 166 	KB - 100%~
 24 Chen			122			- 128	KB - 100%
 25 Ran				3140		- 484 	KB - 100%
 26 Yukari			1737		- 516 	KB - 60%~
 28 Mystia			1222 		- 358 	KB - 40%
 29 Aya				5286		- 778 	KB - 0%
 30 Shikieiki		10119		- 1.75	MB - 0%
 31 Sanae			2185		- 772 	KB - 0%
 32 Kanako			1269		- 313 	KB - 0%
 33 Suwako			2537		- 441 	KB - 100%
 34 Tenshi			942			- 278 	KB - 100%
 35 Iku				2328		- 490 	KB - 0%
 37 Okuu			957			- 219	KB - 100%
 38 Koishi			6815 		- 1.09 	MB - 0%
 39 Nazrin			9813 		- 1.44 	MB - 0%
 40 Kogasa			11626 		- 1.49 	MB - 1% (just the intro)
 41 Nue				3368 		- 588 	KB - 100%
 42 Hatate			22944		- 3.21	MB - 0%
 43 Kasen			7053		- 954 	KB - 0%
 44 Ellen			2301 		- 585 	KB - 0%
 49 Satori			6777 		- 1.09 	MB - 0%
